global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,77,60,94,19,0.548,0.759493670886076,0.38961038961038963,0.5150214592274679,0.6484036796536796
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 26 3, 15 2, 9 4",63,80,51,56,0.572,0.5882352941176471,0.6106870229007634,0.599250936329588,0.6153698120469561
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 52 3, 29 2, 19 4",68,77,63,42,0.58,0.6470588235294118,0.55,0.5945945945945946,0.6562987012987014
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 74 3, 42 2, 34 4",65,91,38,56,0.624,0.6190476190476191,0.7054263565891473,0.6594202898550725,0.6833877890960344
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 97 3, 58 2, 45 4",77,76,48,49,0.612,0.608,0.6129032258064516,0.6104417670682731,0.6829237071172555
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 132 3, 65 2, 53 4",76,79,48,47,0.62,0.626984126984127,0.6220472440944882,0.6245059288537549,0.6979066641060111
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 159 3, 80 2, 61 4",72,78,52,48,0.6,0.6190476190476191,0.6,0.609375,0.6495512820512821
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 179 3, 95 2, 76 4",72,87,40,51,0.636,0.6304347826086957,0.6850393700787402,0.6566037735849056,0.686191665066257
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 203 3, 115 2, 82 4",75,83,43,49,0.632,0.6287878787878788,0.6587301587301587,0.6434108527131782,0.6833077316948284
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 226 3, 131 2, 93 4",82,64,76,28,0.584,0.6956521739130435,0.45714285714285713,0.5517241379310345,0.6224675324675324
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 149 2, 103 4",71,75,54,50,0.584,0.6,0.5813953488372093,0.5905511811023623,0.6254084182202575
