         10814361 function calls (10697337 primitive calls) in 46.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      583    0.016    0.000    1.516    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:4557(_drop_axis)
        1    0.000    0.000    1.439    1.439 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/data_preprocessing.py:4(preprocess_merged_data)
        1    0.000    0.000    1.439    1.439 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/preprocess_pipeline.py:6(preprocess_data)
    17096    0.041    0.000    1.435    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/algorithms.py:251(_get_hashtable_algo)
      399    0.026    0.000    1.332    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:5110(drop)
    17435    0.076    0.000    1.269    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:3639(_ixs)
    10534    0.029    0.000    1.252    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:581(<listcomp>)
    21068    0.141    0.000    1.223    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:489(get_reindexed_values)
    84113    0.062    0.000    1.212    0.000 {built-in method builtins.hasattr}
     1033    0.007    0.000    1.140    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexing.py:1089(__getitem__)
     2716    0.034    0.000    1.137    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:3716(get_indexer)
       18    0.040    0.002    1.083    0.060 {built-in method builtins.print}
     1033    0.005    0.000    1.082    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexing.py:1623(_getitem_axis)
    44683    0.368    0.000    1.061    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/array_algos/take.py:564(_take_preprocess_indexer_and_fill_value)
      364    0.004    0.000    1.060    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:3786(_getitem_bool_array)
        4    0.000    0.000    1.043    0.261 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:1084(__repr__)
        4    0.000    0.000    1.043    0.261 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:1190(to_string)
      756    0.012    0.000    1.037    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:5863(_get_indexer_strict)
      371    0.001    0.000    1.013    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexing.py:1600(_get_list_axis)
        3    0.000    0.000    0.983    0.328 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/preprocess.py:14(drop_columns_and_return)
    17096    0.149    0.000    0.937    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/algorithms.py:106(_ensure_data)
        4    0.000    0.000    0.934    0.234 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:1111(to_string)
        4    0.000    0.000    0.929    0.232 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:29(to_string)
