         4453395 function calls (4438701 primitive calls) in 5.140 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.140    5.140 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/env/run_pipelineV2.py:50(run_pipeline)
        1    0.001    0.001    4.852    4.852 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/env/src/model_training.py:8(train_and_evaluate_models)
       11    0.001    0.000    4.751    0.432 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/env/src/train_model.py:35(feature_selection_and_model_fitting)
    44/22    0.000    0.000    4.701    0.214 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/base.py:1135(wrapper)
       77    0.001    0.000    4.610    0.060 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/linear_model/_logistic.py:96(_logistic_regression_path)
       22    0.000    0.000    4.509    0.205 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/utils/parallel.py:42(__call__)
       22    0.000    0.000    4.509    0.205 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/joblib/parallel.py:1847(__call__)
      110    0.000    0.000    4.508    0.041 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/joblib/parallel.py:1764(_get_sequential_output)
       66    0.000    0.000    4.507    0.068 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/utils/parallel.py:113(__call__)
       11    0.000    0.000    2.563    0.233 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/linear_model/_logistic.py:1139(fit)
       11    0.000    0.000    2.543    0.231 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_minimize.py:45(minimize)
       11    0.193    0.018    2.543    0.231 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_lbfgsb_py.py:210(_minimize_lbfgsb)
    32059    0.031    0.000    2.329    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_differentiable_functions.py:282(fun_and_grad)
       11    0.000    0.000    2.134    0.194 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/pipeline.py:392(fit)
       11    0.000    0.000    2.099    0.191 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/linear_model/_logistic.py:1751(fit)
       66    0.001    0.000    2.063    0.031 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/linear_model/_sag.py:88(sag_solver)
       66    2.057    0.031    2.057    0.031 {sklearn.linear_model._sag_fast.sag64}
       55    0.002    0.000    1.963    0.036 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/linear_model/_logistic.py:574(_log_reg_scoring_path)
    64118    0.090    0.000    1.871    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_optimize.py:67(_compute_if_needed)
    32070    0.011    0.000    1.858    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_differentiable_functions.py:249(_update_fun)
    32059    0.009    0.000    1.847    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_differentiable_functions.py:154(update_fun)
    32059    0.039    0.000    1.839    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_differentiable_functions.py:132(fun_wrapped)
    32059    0.013    0.000    1.757    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_optimize.py:74(__call__)
    32059    0.513    0.000    1.579    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/linear_model/_linear_loss.py:229(loss_gradient)
    32059    0.412    0.000    0.451    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/_loss/loss.py:200(loss_gradient)
    32059    0.437    0.000    0.449    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/linear_model/_linear_loss.py:138(weight_intercept_raw)
329608/327762    0.091    0.000    0.420    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    32070    0.010    0.000    0.271    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_differentiable_functions.py:254(_update_grad)
    32059    0.009    0.000    0.260    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_differentiable_functions.py:166(update_grad)
    32059    0.031    0.000    0.251    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_differentiable_functions.py:162(grad_wrapped)
        1    0.000    0.000    0.191    0.191 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/env/src/data_preprocessing.py:4(preprocess_merged_data)
        1    0.000    0.000    0.191    0.191 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/env/src/preprocess_pipeline.py:6(preprocess_data)
    64308    0.021    0.000    0.190    0.000 <__array_function__ internals>:177(all)
   167344    0.176    0.000    0.176    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    64308    0.028    0.000    0.146    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2432(all)
      275    0.002    0.000    0.146    0.001 {built-in method builtins.print}
        4    0.000    0.000    0.144    0.036 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/core/frame.py:1084(__repr__)
        4    0.000    0.000    0.143    0.036 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/core/frame.py:1190(to_string)
        4    0.000    0.000    0.139    0.035 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/io/formats/format.py:1111(to_string)
        4    0.000    0.000    0.139    0.035 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/io/formats/string.py:29(to_string)
        4    0.000    0.000    0.139    0.035 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/io/formats/string.py:41(_get_string_representation)
    32059    0.012    0.000    0.139    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_optimize.py:79(derivative)
    65604    0.043    0.000    0.123    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
        3    0.000    0.000    0.123    0.041 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/env/src/preprocess.py:14(drop_columns_and_return)
    64245    0.016    0.000    0.104    0.000 {method 'sum' of 'numpy.ndarray' objects}
    32089    0.011    0.000    0.103    0.000 <__array_function__ internals>:177(array_equal)
        4    0.001    0.000    0.097    0.024 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/io/formats/string.py:154(_fit_strcols_to_terminal_width)
    64245    0.011    0.000    0.088    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/numpy/core/_methods.py:47(_sum)
  264/187    0.001    0.000    0.086    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/utils/_param_validation.py:183(wrapper)
        1    0.000    0.000    0.085    0.085 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/env/src/demographic_handling.py:6(create_and_merge_demographic_subsets)
    64162    0.020    0.000    0.084    0.000 <__array_function__ internals>:177(atleast_1d)
    32089    0.035    0.000    0.082    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/numpy/core/numeric.py:2407(array_equal)
     1463    0.007    0.000    0.079    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/utils/validation.py:644(check_array)
    64129    0.020    0.000    0.071    0.000 <__array_function__ internals>:177(copy)
    32048    0.019    0.000    0.070    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/scipy/optimize/_differentiable_functions.py:240(update_x)
      246    0.000    0.000    0.068    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/core/generic.py:4518(drop)
      246    0.001    0.000    0.067    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/core/generic.py:4557(_drop_axis)
    96291    0.032    0.000    0.067    0.000 <__array_function__ internals>:177(empty_like)
      340    0.001    0.000    0.066    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/core/internals/managers.py:683(reindex_indexer)
        1    0.001    0.001    0.062    0.062 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/env/src/create_demodf_knn.py:4(create_demographic_dfs)
      110    0.000    0.000    0.061    0.001 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/sklearn/base.py:509(_validate_data)
       11    0.000    0.000    0.059    0.005 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/env/src/train_model.py:95(evaluate_model)
2124/2099    0.006    0.000    0.052    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/core/series.py:368(__init__)
     4276    0.004    0.000    0.048    0.000 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/core/internals/blocks.py:926(take_nd)
        8    0.000    0.000    0.047    0.006 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/io/formats/string.py:35(_get_strcols)
        8    0.000    0.000    0.046    0.006 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/io/formats/format.py:611(get_strcols)
       42    0.000    0.000    0.046    0.001 /Users/ganeshjai/Desktop/Relapse_Pipeline copy/.venv/lib/python3.9/site-packages/pandas/core/reshape/concat.py:149(concat)
