         4573938 function calls (4557000 primitive calls) in 22.547 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   22.548   22.548 /Users/richeyjay/Desktop/Relapse_Pipeline/env/run_pipelineV2.py:65(run_pipeline)
        1    0.012    0.012   20.473   20.473 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/model_training.py:9(train_and_evaluate_models)
       11    0.034    0.003   18.386    1.671 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:109(train)
       11    0.002    0.000   18.105    1.646 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:49(feature_selection_and_model_fitting)
    44/22    0.001    0.000   17.324    0.787 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/base.py:1135(wrapper)
       77    0.011    0.000   16.830    0.219 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:96(_logistic_regression_path)
       22    0.000    0.000   16.606    0.755 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/parallel.py:42(__call__)
       22    0.000    0.000   16.606    0.755 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/parallel.py:1847(__call__)
      110    0.001    0.000   16.605    0.151 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/parallel.py:1764(_get_sequential_output)
       66    0.001    0.000   16.601    0.252 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/parallel.py:113(__call__)
       11    0.001    0.000   11.158    1.014 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:1139(fit)
       11    0.000    0.000   11.070    1.006 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_minimize.py:45(minimize)
       11    0.826    0.075   11.069    1.006 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_lbfgsb_py.py:210(_minimize_lbfgsb)
    32002    0.126    0.000   10.096    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:282(fun_and_grad)
    64004    0.380    0.000    8.097    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_optimize.py:67(_compute_if_needed)
    32013    0.036    0.000    7.996    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:249(_update_fun)
    32002    0.031    0.000    7.960    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:154(update_fun)
    32002    0.176    0.000    7.929    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:132(fun_wrapped)
    32002    0.052    0.000    7.601    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_optimize.py:74(__call__)
    32002    2.212    0.000    6.871    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_linear_loss.py:229(loss_gradient)
       11    0.001    0.000    6.152    0.559 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/pipeline.py:392(fit)
       11    0.004    0.000    5.933    0.539 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:1751(fit)
       66    0.002    0.000    5.736    0.087 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_sag.py:88(sag_solver)
       66    5.707    0.086    5.707    0.086 {sklearn.linear_model._sag_fast.sag64}
       55    0.008    0.000    5.523    0.100 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:574(_log_reg_scoring_path)
      343    0.003    0.000    2.226    0.006 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:2062(info)
      343    0.003    0.000    2.223    0.006 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1424(info)
      343    0.003    0.000    2.220    0.006 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1553(_log)
      343    0.003    0.000    2.160    0.006 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1579(handle)
      343    0.004    0.000    2.157    0.006 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1633(callHandlers)
      686    0.013    0.000    2.152    0.003 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:937(handle)
      343    0.012    0.000    2.111    0.006 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1174(emit)
      343    0.014    0.000    2.099    0.006 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1069(emit)
      343    0.027    0.000    2.057    0.006 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:987(handleError)
     6079    1.129    0.000    2.032    0.000 {built-in method builtins.print}
    32002    1.852    0.000    2.012    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/_loss/loss.py:200(loss_gradient)
329037/327191    0.410    0.000    1.954    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    32002    1.728    0.000    1.790    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_linear_loss.py:138(weight_intercept_raw)
        1    0.000    0.000    1.316    1.316 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/data_preprocessing.py:4(preprocess_merged_data)
        1    0.000    0.000    1.310    1.310 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/preprocess_pipeline.py:6(preprocess_data)
