         4572717 function calls (4555856 primitive calls) in 31.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32002    0.153    0.000    1.285    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:162(grad_wrapped)
      343    0.020    0.000    1.169    0.003 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/traceback.py:87(print_exception)
   167050    1.154    0.000    1.154    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    1.040    1.040 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/data_preprocessing.py:4(preprocess_merged_data)
        1    0.001    0.001    1.038    1.038 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/preprocess_pipeline.py:6(preprocess_data)
    64197    0.087    0.000    0.965    0.000 <__array_function__ internals>:177(all)
    64197    0.140    0.000    0.794    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2432(all)
     1463    0.030    0.000    0.755    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/validation.py:644(check_array)
    32002    0.054    0.000    0.713    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_optimize.py:79(derivative)
    64131    0.102    0.000    0.709    0.000 {method 'sum' of 'numpy.ndarray' objects}
      343    0.009    0.000    0.706    0.002 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/traceback.py:181(print_stack)
       11    0.002    0.000    0.703    0.064 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:113(evaluate)
        4    0.000    0.000    0.700    0.175 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:1084(__repr__)
        4    0.000    0.000    0.695    0.174 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:1190(to_string)
    65493    0.211    0.000    0.688    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
        4    0.000    0.000    0.670    0.168 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:1111(to_string)
        4    0.000    0.000    0.670    0.167 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:29(to_string)
        4    0.000    0.000    0.670    0.167 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:41(_get_string_representation)
  264/187    0.004    0.000    0.646    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/_param_validation.py:183(wrapper)
