         4448369 function calls (4433431 primitive calls) in 19.137 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   19.138   19.138 /Users/richeyjay/Desktop/Relapse_Pipeline/env/run_pipelineV2.py:50(run_pipeline)
        1    0.004    0.004   17.081   17.081 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/model_training.py:8(train_and_evaluate_models)
       11    0.002    0.000   16.126    1.466 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:35(feature_selection_and_model_fitting)
    44/22    0.001    0.000   15.920    0.724 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/base.py:1135(wrapper)
       77    0.007    0.000   15.451    0.201 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:96(_logistic_regression_path)
       22    0.000    0.000   15.212    0.691 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/parallel.py:42(__call__)
       22    0.000    0.000   15.212    0.691 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/parallel.py:1847(__call__)
      110    0.001    0.000   15.210    0.138 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/parallel.py:1764(_get_sequential_output)
       66    0.004    0.000   15.207    0.230 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/parallel.py:113(__call__)
       11    0.000    0.000    9.736    0.885 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:1139(fit)
       11    0.000    0.000    9.655    0.878 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_minimize.py:45(minimize)
       11    0.813    0.074    9.654    0.878 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_lbfgsb_py.py:210(_minimize_lbfgsb)
    32002    0.109    0.000    8.661    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:282(fun_and_grad)
    64004    0.362    0.000    6.988    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_optimize.py:67(_compute_if_needed)
    32013    0.029    0.000    6.878    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:249(_update_fun)
    32002    0.029    0.000    6.849    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:154(update_fun)
    32002    0.167    0.000    6.820    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:132(fun_wrapped)
    32002    0.050    0.000    6.502    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_optimize.py:74(__call__)
       11    0.000    0.000    6.169    0.561 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/pipeline.py:392(fit)
       11    0.002    0.000    5.940    0.540 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:1751(fit)
    32002    1.632    0.000    5.806    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_linear_loss.py:229(loss_gradient)
       66    0.003    0.000    5.774    0.087 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_sag.py:88(sag_solver)
       66    5.741    0.087    5.741    0.087 {sklearn.linear_model._sag_fast.sag64}
       55    0.009    0.000    5.536    0.101 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:574(_log_reg_scoring_path)
    32002    1.879    0.000    2.028    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/_loss/loss.py:200(loss_gradient)
329039/327193    0.397    0.000    1.852    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    1.373    1.373 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/data_preprocessing.py:4(preprocess_merged_data)
        1    0.000    0.000    1.372    1.372 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/preprocess_pipeline.py:6(preprocess_data)
    32002    1.249    0.000    1.309    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_linear_loss.py:138(weight_intercept_raw)
    32013    0.027    0.000    1.077    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:254(_update_grad)
    32002    0.033    0.000    1.050    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:166(update_grad)
    32002    0.121    0.000    1.017    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:162(grad_wrapped)
        3    0.000    0.000    0.987    0.329 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/preprocess.py:14(drop_columns_and_return)
   167062    0.903    0.000    0.903    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      275    0.030    0.000    0.879    0.003 {built-in method builtins.print}
        4    0.001    0.000    0.848    0.212 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:1084(__repr__)
        4    0.000    0.000    0.846    0.212 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:1190(to_string)
        4    0.000    0.000    0.804    0.201 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:1111(to_string)
        4    0.000    0.000    0.802    0.201 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:29(to_string)
        4    0.000    0.000    0.802    0.201 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:41(_get_string_representation)
    64195    0.077    0.000    0.782    0.000 <__array_function__ internals>:177(all)
  264/187    0.003    0.000    0.632    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/_param_validation.py:183(wrapper)
    64195    0.115    0.000    0.628    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2432(all)
    32002    0.049    0.000    0.585    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_optimize.py:79(derivative)
      239    0.003    0.000    0.572    0.002 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:4518(drop)
      239    0.005    0.000    0.562    0.002 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:4557(_drop_axis)
        1    0.001    0.001    0.560    0.560 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/demographic_handling.py:6(create_and_merge_demographic_subsets)
    65491    0.178    0.000    0.541    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
    64131    0.071    0.000    0.522    0.000 {method 'sum' of 'numpy.ndarray' objects}
      333    0.003    0.000    0.481    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:683(reindex_indexer)
    64131    0.042    0.000    0.451    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/_methods.py:47(_sum)
       49    0.000    0.000    0.446    0.009 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:5110(drop)
    32032    0.033    0.000    0.442    0.000 <__array_function__ internals>:177(array_equal)
        8    0.000    0.000    0.438    0.055 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:35(_get_strcols)
     1463    0.029    0.000    0.436    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/validation.py:644(check_array)
        8    0.000    0.000    0.435    0.054 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:611(get_strcols)
        8    0.004    0.000    0.433    0.054 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:845(_get_strcols_without_index)
      243    0.007    0.000    0.398    0.002 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:892(format_col)
        4    0.003    0.001    0.388    0.097 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:154(_fit_strcols_to_terminal_width)
       11    0.001    0.000    0.372    0.034 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:95(evaluate_model)
    32032    0.161    0.000    0.370    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/numeric.py:2407(array_equal)
     4274    0.026    0.000    0.367    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:926(take_nd)
      340    0.001    0.000    0.364    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:2062(info)
      340    0.002    0.000    0.362    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1424(info)
2125/2100    0.029    0.000    0.361    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/series.py:368(__init__)
      340    0.002    0.000    0.359    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:1553(_log)
