         4447983 function calls (4433424 primitive calls) in 41.520 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   41.521   41.521 /Users/richeyjay/Desktop/Relapse_Pipeline/env/run_pipelineV2.py:50(run_pipeline)
        1    0.010    0.010   39.811   39.811 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/model_training.py:9(train_and_evaluate_models)
       11    0.002    0.000   38.922    3.538 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:105(train)
       11    0.016    0.001   38.862    3.533 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:45(feature_selection_and_model_fitting)
    44/22    0.002    0.000   38.403    1.746 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/base.py:1135(wrapper)
       77    0.005    0.000   37.774    0.491 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:96(_logistic_regression_path)
       22    0.000    0.000   37.446    1.702 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/parallel.py:42(__call__)
       22    0.000    0.000   37.445    1.702 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/parallel.py:1847(__call__)
      110    0.001    0.000   37.440    0.340 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/parallel.py:1764(_get_sequential_output)
       66    0.003    0.000   37.436    0.567 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/parallel.py:113(__call__)
       11    0.001    0.000   29.267    2.661 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:1139(fit)
       11    0.000    0.000   29.170    2.652 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_minimize.py:45(minimize)
       11    0.881    0.080   29.169    2.652 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_lbfgsb_py.py:210(_minimize_lbfgsb)
    32002    0.121    0.000   28.110    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:282(fun_and_grad)
    64004    0.439    0.000   26.162    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_optimize.py:67(_compute_if_needed)
    32013    0.036    0.000   26.049    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:249(_update_fun)
    32002    0.029    0.000   26.012    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:154(update_fun)
    32002    0.201    0.000   25.984    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:132(fun_wrapped)
    32002    0.053    0.000   25.598    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_optimize.py:74(__call__)
    32002   10.764    0.000   24.791    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_linear_loss.py:229(loss_gradient)
    32002   10.379    0.000   10.449    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_linear_loss.py:138(weight_intercept_raw)
       11    0.000    0.000    9.064    0.824 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/pipeline.py:392(fit)
       11    0.002    0.000    8.767    0.797 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:1751(fit)
       66    0.002    0.000    8.586    0.130 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_sag.py:88(sag_solver)
       66    8.556    0.130    8.556    0.130 {sklearn.linear_model._sag_fast.sag64}
