global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 158 2, 100 4",12,162,55,21,0.696,0.8852459016393442,0.7465437788018433,0.81,0.6296606619187264
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 213 3, 147 2, 90 4",16,133,90,11,0.596,0.9236111111111112,0.5964125560538116,0.7247956403269754,0.6570337153296795
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 188 3, 136 2, 76 4",16,147,77,10,0.652,0.9363057324840764,0.65625,0.7716535433070867,0.7039835164835165
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 164 3, 120 2, 66 4",12,175,46,17,0.748,0.9114583333333334,0.7918552036199095,0.8474576271186441,0.6910594476517398
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 104 2, 54 4",9,136,95,10,0.58,0.9315068493150684,0.5887445887445888,0.7214854111405836,0.6397812713602188
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 114 3, 88 2, 48 4",11,166,56,17,0.708,0.907103825136612,0.7477477477477478,0.8197530864197531,0.7104247104247104
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 87 3, 71 2, 42 4",16,159,66,9,0.7,0.9464285714285714,0.7066666666666667,0.8091603053435114,0.8010666666666667
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 53 2, 31 4",13,157,68,12,0.68,0.9289940828402367,0.6977777777777778,0.7969543147208122,0.7358222222222222
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 45 3, 34 2, 21 4",15,167,51,17,0.728,0.907608695652174,0.7660550458715596,0.8308457711442786,0.7290711009174311
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 13 2, 13 4",13,134,98,5,0.588,0.9640287769784173,0.5775862068965517,0.7223719676549865,0.7595785440613027
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,17,151,77,5,0.672,0.967948717948718,0.6622807017543859,0.7864583333333334,0.7527910685805422
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 153 2, 99 4",12,128,100,10,0.56,0.927536231884058,0.5614035087719298,0.6994535519125682,0.6136363636363636
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 221 3, 140 2, 89 4",16,158,62,14,0.696,0.9186046511627907,0.7181818181818181,0.8061224489795918,0.666969696969697
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 123 2, 82 4",14,143,83,10,0.628,0.934640522875817,0.6327433628318584,0.7546174142480211,0.6325589970501474
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 108 2, 73 4",17,120,105,8,0.548,0.9375,0.5333333333333333,0.6798866855524079,0.6556444444444445
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 145 3, 93 2, 62 4",20,144,80,6,0.656,0.96,0.6428571428571429,0.7700534759358291,0.7441620879120879
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 126 3, 73 2, 51 4",17,143,78,12,0.64,0.9225806451612903,0.6470588235294118,0.7606382978723404,0.6721797472304571
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 104 3, 59 2, 37 4",17,145,81,7,0.648,0.9539473684210527,0.6415929203539823,0.7671957671957672,0.7273230088495576
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 77 3, 46 2, 27 4",18,129,97,6,0.588,0.9555555555555556,0.5707964601769911,0.7146814404432134,0.678834808259587
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 50 3, 32 2, 18 4",16,168,49,17,0.736,0.9081081081081082,0.7741935483870968,0.835820895522388,0.7276916631755341
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 16 2, 9 4",19,155,64,12,0.696,0.9281437125748503,0.7077625570776256,0.8031088082901555,0.7037855354249521
4,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,21,138,87,4,0.636,0.971830985915493,0.6133333333333333,0.7520435967302452,0.7649777777777778
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 158 2, 100 4",12,162,55,21,0.696,0.8852459016393442,0.7465437788018433,0.81,0.6296606619187264
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 213 3, 147 2, 90 4",16,133,90,11,0.596,0.9236111111111112,0.5964125560538116,0.7247956403269754,0.6570337153296795
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 188 3, 136 2, 76 4",16,147,77,10,0.652,0.9363057324840764,0.65625,0.7716535433070867,0.7039835164835165
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 164 3, 120 2, 66 4",12,175,46,17,0.748,0.9114583333333334,0.7918552036199095,0.8474576271186441,0.6910594476517398
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 104 2, 54 4",9,136,95,10,0.58,0.9315068493150684,0.5887445887445888,0.7214854111405836,0.6397812713602188
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 114 3, 88 2, 48 4",11,166,56,17,0.708,0.907103825136612,0.7477477477477478,0.8197530864197531,0.7104247104247104
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 87 3, 71 2, 42 4",16,159,66,9,0.7,0.9464285714285714,0.7066666666666667,0.8091603053435114,0.8010666666666667
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 53 2, 31 4",13,157,68,12,0.68,0.9289940828402367,0.6977777777777778,0.7969543147208122,0.7358222222222222
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 45 3, 34 2, 21 4",15,167,51,17,0.728,0.907608695652174,0.7660550458715596,0.8308457711442786,0.7290711009174311
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 13 2, 13 4",13,134,98,5,0.588,0.9640287769784173,0.5775862068965517,0.7223719676549865,0.7595785440613027
2,Binary,Rs_johnson_1992,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,17,151,77,5,0.672,0.967948717948718,0.6622807017543859,0.7864583333333334,0.7527910685805422
