global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 158 2, 100 4",25,146,53,26,0.684,0.8488372093023255,0.7336683417085427,0.7870619946091643,0.6816435116760272
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 213 3, 147 2, 90 4",27,123,81,19,0.6,0.8661971830985915,0.6029411764705882,0.7109826589595375,0.6662404092071612
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 188 3, 136 2, 76 4",26,112,103,9,0.552,0.9256198347107438,0.5209302325581395,0.6666666666666666,0.6360132890365449
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 164 3, 120 2, 66 4",24,149,57,20,0.692,0.8816568047337278,0.7233009708737864,0.7946666666666666,0.6942850838481908
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 104 2, 54 4",22,119,102,7,0.564,0.9444444444444444,0.5384615384615384,0.685878962536023,0.662973942892807
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 114 3, 88 2, 48 4",21,148,55,26,0.676,0.8505747126436781,0.729064039408867,0.7851458885941645,0.6188030604758412
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 87 3, 71 2, 42 4",21,135,75,19,0.624,0.8766233766233766,0.6428571428571429,0.7417582417582417,0.620952380952381
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 53 2, 31 4",30,110,105,5,0.56,0.9565217391304348,0.5116279069767442,0.6666666666666667,0.7104318936877078
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 45 3, 34 2, 21 4",26,129,81,14,0.62,0.9020979020979021,0.6142857142857143,0.7308781869688386,0.7170238095238095
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 13 2, 13 4",25,131,87,7,0.624,0.9492753623188406,0.6009174311926605,0.7359550561797753,0.7431192660550459
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,25,145,64,16,0.68,0.9006211180124224,0.69377990430622,0.7837837837837837,0.6888785155794142
