global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 158 2, 100 4",25,146,53,26,0.684,0.8488372093023255,0.7336683417085427,0.7870619946091643,0.6816435116760272
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 213 3, 147 2, 90 4",25,118,89,18,0.572,0.8676470588235294,0.5700483091787439,0.6880466472303207,0.680934726435232
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 188 3, 136 2, 76 4",29,82,135,4,0.444,0.9534883720930233,0.3778801843317972,0.5412541254125413,0.6522832006702974
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 164 3, 120 2, 66 4",27,154,51,18,0.724,0.8953488372093024,0.751219512195122,0.8169761273209549,0.7204336043360433
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 104 2, 54 4",23,114,105,8,0.548,0.9344262295081968,0.5205479452054794,0.6686217008797654,0.6254234791574607
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 114 3, 88 2, 48 4",19,138,70,23,0.628,0.8571428571428571,0.6634615384615384,0.7479674796747967,0.5918040293040293
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 87 3, 71 2, 42 4",21,130,82,17,0.604,0.8843537414965986,0.6132075471698113,0.724233983286908,0.6315789473684211
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 53 2, 31 4",25,135,71,19,0.64,0.8766233766233766,0.6553398058252428,0.7499999999999999,0.6946160635481025
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 45 3, 34 2, 21 4",24,139,67,20,0.652,0.8742138364779874,0.6747572815533981,0.7616438356164383,0.6847969991173875
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 13 2, 13 4",24,119,99,8,0.572,0.937007874015748,0.5458715596330275,0.689855072463768,0.7125860091743119
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,21,153,55,21,0.696,0.8793103448275862,0.7355769230769231,0.8010471204188483,0.67742673992674
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 153 2, 99 4",21,125,87,17,0.584,0.8802816901408451,0.589622641509434,0.7062146892655367,0.599428997020854
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 221 3, 140 2, 89 4",22,127,80,21,0.596,0.8581081081081081,0.6135265700483091,0.7154929577464789,0.6157735085945399
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 123 2, 82 4",20,133,70,27,0.612,0.83125,0.6551724137931034,0.7327823691460056,0.5883031128812493
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 108 2, 73 4",29,128,74,19,0.628,0.8707482993197279,0.6336633663366337,0.7335243553008596,0.647174092409241
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 145 3, 93 2, 62 4",28,93,122,7,0.484,0.93,0.4325581395348837,0.5904761904761905,0.653421926910299
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 126 3, 73 2, 51 4",28,125,81,16,0.612,0.8865248226950354,0.6067961165048543,0.7204610951008646,0.664055604589585
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 104 3, 59 2, 37 4",26,128,88,8,0.616,0.9411764705882353,0.5925925925925926,0.7272727272727272,0.7234477124183007
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 77 3, 46 2, 27 4",26,133,69,22,0.636,0.8580645161290322,0.6584158415841584,0.7450980392156863,0.6630569306930695
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 50 3, 32 2, 18 4",25,141,63,21,0.664,0.8703703703703703,0.6911764705882353,0.7704918032786884,0.6824381926683717
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 16 2, 9 4",27,124,79,20,0.604,0.8611111111111112,0.6108374384236454,0.7146974063400576,0.6886070642490304
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,34,137,69,10,0.684,0.9319727891156463,0.6650485436893204,0.7762039660056657,0.7366504854368932
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 158 2, 100 4",25,146,53,26,0.684,0.8488372093023255,0.7336683417085427,0.7870619946091643,0.6816435116760272
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 213 3, 147 2, 90 4",25,118,89,18,0.572,0.8676470588235294,0.5700483091787439,0.6880466472303207,0.680934726435232
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 188 3, 136 2, 76 4",29,82,135,4,0.444,0.9534883720930233,0.3778801843317972,0.5412541254125413,0.6522832006702974
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 164 3, 120 2, 66 4",27,154,51,18,0.724,0.8953488372093024,0.751219512195122,0.8169761273209549,0.7204336043360433
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 104 2, 54 4",23,114,105,8,0.548,0.9344262295081968,0.5205479452054794,0.6686217008797654,0.6254234791574607
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 114 3, 88 2, 48 4",19,138,70,23,0.628,0.8571428571428571,0.6634615384615384,0.7479674796747967,0.5918040293040293
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 87 3, 71 2, 42 4",21,130,82,17,0.604,0.8843537414965986,0.6132075471698113,0.724233983286908,0.6315789473684211
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 53 2, 31 4",25,135,71,19,0.64,0.8766233766233766,0.6553398058252428,0.7499999999999999,0.6946160635481025
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 45 3, 34 2, 21 4",24,139,67,20,0.652,0.8742138364779874,0.6747572815533981,0.7616438356164383,0.6847969991173875
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 13 2, 13 4",24,119,99,8,0.572,0.937007874015748,0.5458715596330275,0.689855072463768,0.7125860091743119
2,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,21,153,55,21,0.696,0.8793103448275862,0.7355769230769231,0.8010471204188483,0.67742673992674
