global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 259 3, 148 2, 93 4",76,76,51,47,0.6178861788617886,0.608,0.5984251968503937,0.6080000000000001
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 232 3, 133 2, 85 4",77,94,30,49,0.6573426573426573,0.684,0.7580645161290323,0.7041198501872659
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 207 3, 119 2, 74 4",60,80,39,71,0.5298013245033113,0.56,0.6722689075630253,0.5925925925925926
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 180 3, 106 2, 64 4",78,78,65,29,0.7289719626168224,0.624,0.5454545454545454,0.624
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 152 3, 93 2, 55 4",69,84,38,59,0.5874125874125874,0.612,0.6885245901639344,0.6339622641509434
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 129 3, 77 2, 44 4",72,78,59,41,0.6554621848739496,0.6,0.5693430656934306,0.609375
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 107 3, 61 2, 32 4",78,87,47,38,0.696,0.66,0.6492537313432836,0.6718146718146718
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 76 3, 52 2, 22 4",66,79,53,52,0.6030534351145038,0.58,0.5984848484848485,0.6007604562737644
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 51 3, 34 2, 15 4",68,85,51,46,0.648854961832061,0.612,0.625,0.6367041198501873
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 16 2, 9 4",72,61,99,18,0.7721518987341772,0.532,0.38125,0.510460251046025
1722872032,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,67,98,28,57,0.632258064516129,0.66,0.7777777777777778,0.697508896797153
