global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 241 3, 163 2, 96 4",27,100,112,11,0.9009009009009009,0.508,0.4716981132075472,0.6191950464396284
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 145 2, 89 4",22,124,84,20,0.8611111111111112,0.584,0.5961538461538461,0.7045454545454546
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 192 3, 130 2, 78 4",21,155,43,31,0.8333333333333334,0.704,0.7828282828282829,0.8072916666666667
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 164 3, 115 2, 71 4",28,133,74,15,0.8986486486486487,0.644,0.642512077294686,0.7492957746478872
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 141 3, 104 2, 55 4",30,126,80,14,0.9,0.624,0.6116504854368932,0.7283236994219652
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 116 3, 89 2, 45 4",29,130,76,15,0.896551724137931,0.636,0.6310679611650486,0.7407407407407407
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 98 3, 69 2, 33 4",33,149,53,15,0.9085365853658537,0.728,0.7376237623762376,0.8142076502732242
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 74 3, 54 2, 22 4",35,143,60,12,0.9225806451612903,0.712,0.7044334975369458,0.7988826815642458
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 53 3, 34 2, 13 4",34,119,89,8,0.937007874015748,0.612,0.5721153846153846,0.7104477611940299
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 23 3, 18 2, 9 4",29,146,60,15,0.906832298136646,0.7,0.7087378640776699,0.7956403269754768
1722634980,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,27,120,85,18,0.8695652173913043,0.588,0.5853658536585366,0.6997084548104956
