seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
N/A,Binary,'Rs_johnson_1992',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 56 2, 28 4",16,160,60,14,0.9195402298850575,0.704,0.7272727272727273,0.8121827411167513
N/A,Binary,'Rs_johnson_1992',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 36 2, 17 4",14,155,68,13,0.9226190476190477,0.676,0.695067264573991,0.792838874680307
N/A,Binary,'Rs_johnson_1992',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 17 2, 9 4",17,158,67,8,0.9518072289156626,0.7,0.7022222222222222,0.8081841432225064
N/A,Binary,'Rs_johnson_1992',pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,19,152,71,8,0.95,0.684,0.6816143497757847,0.793733681462141
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 162 2, 96 4",82,64,53,51,0.5565217391304348,0.584,0.5470085470085471,0.5517241379310344
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 147 2, 87 4",77,54,68,51,0.5142857142857142,0.524,0.4426229508196721,0.47577092511013214
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 194 3, 131 2, 75 4",82,63,55,50,0.5575221238938053,0.58,0.5338983050847458,0.5454545454545454
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 166 3, 119 2, 65 4",76,67,54,53,0.5583333333333333,0.572,0.5537190082644629,0.5560165975103736
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 100 2, 58 4",65,76,38,71,0.5170068027210885,0.564,0.6666666666666666,0.5823754789272031
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 119 3, 83 2, 48 4",73,78,37,62,0.5571428571428572,0.604,0.6782608695652174,0.611764705882353
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 90 3, 70 2, 40 4",80,66,57,47,0.584070796460177,0.584,0.5365853658536586,0.5593220338983051
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 56 2, 28 4",89,64,67,30,0.6808510638297872,0.612,0.48854961832061067,0.5688888888888889
N/A,Binary,'Ab_ling_1998',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 36 2, 17 4",74,69,55,52,0.5702479338842975,0.572,0.5564516129032258,0.5632653061224491
