global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,59,87,46,58,0.6,0.584,0.6541353383458647,0.6258992805755396
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 155 2, 97 4",80,73,61,36,0.6697247706422018,0.612,0.5447761194029851,0.6008230452674898
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 224 3, 136 2, 90 4",85,78,50,37,0.6782608695652174,0.652,0.609375,0.6419753086419753
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 124 2, 81 4",68,84,35,63,0.5714285714285714,0.608,0.7058823529411765,0.6315789473684211
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 171 3, 106 2, 73 4",67,79,42,62,0.5602836879432624,0.584,0.6528925619834711,0.6030534351145038
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 146 3, 95 2, 59 4",74,64,71,41,0.6095238095238096,0.552,0.4740740740740741,0.5333333333333333
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 124 3, 78 2, 48 4",68,79,45,58,0.5766423357664233,0.588,0.6370967741935484,0.6053639846743295
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 106 3, 59 2, 35 4",76,77,59,38,0.6695652173913044,0.612,0.5661764705882353,0.6135458167330677
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 86 3, 40 2, 24 4",76,89,44,41,0.6846153846153846,0.66,0.6691729323308271,0.6768060836501901
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 63 3, 25 2, 12 4",86,71,71,22,0.7634408602150538,0.628,0.5,0.6042553191489362
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 31 3, 13 2, 6 4",86,67,75,22,0.7528089887640449,0.612,0.47183098591549294,0.5800865800865801
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,59,87,46,58,0.6,0.584,0.6541353383458647,0.6258992805755396
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 155 2, 97 4",80,73,61,36,0.6697247706422018,0.612,0.5447761194029851,0.6008230452674898
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 224 3, 136 2, 90 4",85,78,50,37,0.6782608695652174,0.652,0.609375,0.6419753086419753
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 124 2, 81 4",68,84,35,63,0.5714285714285714,0.608,0.7058823529411765,0.6315789473684211
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 171 3, 106 2, 73 4",67,79,42,62,0.5602836879432624,0.584,0.6528925619834711,0.6030534351145038
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 146 3, 95 2, 59 4",74,64,71,41,0.6095238095238096,0.552,0.4740740740740741,0.5333333333333333
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 124 3, 78 2, 48 4",68,79,45,58,0.5766423357664233,0.588,0.6370967741935484,0.6053639846743295
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 106 3, 59 2, 35 4",76,77,59,38,0.6695652173913044,0.612,0.5661764705882353,0.6135458167330677
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 86 3, 40 2, 24 4",76,89,44,41,0.6846153846153846,0.66,0.6691729323308271,0.6768060836501901
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 63 3, 25 2, 12 4",86,71,71,22,0.7634408602150538,0.628,0.5,0.6042553191489362
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 31 3, 13 2, 6 4",86,67,75,22,0.7528089887640449,0.612,0.47183098591549294,0.5800865800865801
1722523108,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,59,87,46,58,0.6,0.584,0.6541353383458647,0.6258992805755396
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 150 2, 102 4",25,149,52,24,0.861271676300578,0.696,0.7412935323383084,0.7967914438502673
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 222 3, 133 2, 95 4",21,126,86,17,0.8811188811188811,0.588,0.5943396226415094,0.7098591549295775
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 199 3, 117 2, 84 4",24,156,42,28,0.8478260869565217,0.72,0.7878787878787878,0.8167539267015707
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 174 3, 102 2, 74 4",20,114,102,14,0.890625,0.536,0.5277777777777778,0.6627906976744187
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 148 3, 86 2, 66 4",22,130,75,23,0.8496732026143791,0.608,0.6341463414634146,0.7262569832402235
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 122 3, 72 2, 56 4",25,133,75,17,0.8866666666666667,0.632,0.6394230769230769,0.7430167597765363
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 96 3, 59 2, 45 4",29,141,58,22,0.8650306748466258,0.68,0.7085427135678392,0.7790055248618785
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 69 3, 44 2, 37 4",30,120,88,12,0.9090909090909091,0.6,0.5769230769230769,0.7058823529411764
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 30 2, 23 4",29,128,78,15,0.8951048951048951,0.628,0.6213592233009708,0.7335243553008595
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 16 2, 10 4",30,116,97,7,0.943089430894309,0.584,0.5446009389671361,0.6904761904761905
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,27,139,61,23,0.8580246913580247,0.664,0.695,0.7679558011049723
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 150 2, 102 4",25,149,52,24,0.861271676300578,0.696,0.7412935323383084,0.7967914438502673
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 222 3, 133 2, 95 4",21,126,86,17,0.8811188811188811,0.588,0.5943396226415094,0.7098591549295775
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 199 3, 117 2, 84 4",24,156,42,28,0.8478260869565217,0.72,0.7878787878787878,0.8167539267015707
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 174 3, 102 2, 74 4",20,114,102,14,0.890625,0.536,0.5277777777777778,0.6627906976744187
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 148 3, 86 2, 66 4",22,130,75,23,0.8496732026143791,0.608,0.6341463414634146,0.7262569832402235
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 122 3, 72 2, 56 4",25,133,75,17,0.8866666666666667,0.632,0.6394230769230769,0.7430167597765363
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 96 3, 59 2, 45 4",29,141,58,22,0.8650306748466258,0.68,0.7085427135678392,0.7790055248618785
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 69 3, 44 2, 37 4",30,120,88,12,0.9090909090909091,0.6,0.5769230769230769,0.7058823529411764
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 30 2, 23 4",29,128,78,15,0.8951048951048951,0.628,0.6213592233009708,0.7335243553008595
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 16 2, 10 4",30,116,97,7,0.943089430894309,0.584,0.5446009389671361,0.6904761904761905
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,27,139,61,23,0.8580246913580247,0.664,0.695,0.7679558011049723
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 150 2, 102 4",25,149,52,24,0.861271676300578,0.696,0.7412935323383084,0.7967914438502673
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 222 3, 133 2, 95 4",21,126,86,17,0.8811188811188811,0.588,0.5943396226415094,0.7098591549295775
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 199 3, 117 2, 84 4",24,156,42,28,0.8478260869565217,0.72,0.7878787878787878,0.8167539267015707
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 174 3, 102 2, 74 4",20,114,102,14,0.890625,0.536,0.5277777777777778,0.6627906976744187
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 148 3, 86 2, 66 4",22,130,75,23,0.8496732026143791,0.608,0.6341463414634146,0.7262569832402235
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 122 3, 72 2, 56 4",25,133,75,17,0.8866666666666667,0.632,0.6394230769230769,0.7430167597765363
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 96 3, 59 2, 45 4",29,141,58,22,0.8650306748466258,0.68,0.7085427135678392,0.7790055248618785
