global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
4,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 153 2, 99 4",75,82,25,68,0.628,0.5466666666666666,0.7663551401869159,0.6381322957198443,0.6501282051282051
4,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 123 2, 82 4",81,75,59,35,0.624,0.6818181818181818,0.5597014925373134,0.6147540983606556,0.6677684879123728
4,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 145 3, 93 2, 62 4",56,90,30,74,0.584,0.5487804878048781,0.75,0.6338028169014085,0.6296082949308756
4,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 104 3, 59 2, 37 4",57,91,27,75,0.592,0.5481927710843374,0.7711864406779662,0.6408450704225352,0.6554089026915113
4,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 50 3, 32 2, 18 4",71,82,49,48,0.612,0.6307692307692307,0.6259541984732825,0.628352490421456,0.6199243056001026
23,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 249 3, 153 2, 98 4",75,73,49,53,0.592,0.5793650793650794,0.5983606557377049,0.5887096774193549,0.6363636363636364
23,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 201 3, 121 2, 78 4",77,79,61,33,0.624,0.7053571428571429,0.5642857142857143,0.6269841269841269,0.6142783769902413
23,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 152 3, 91 2, 57 4",70,86,39,55,0.624,0.6099290780141844,0.688,0.6466165413533834,0.6451716188524591
23,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 105 3, 56 2, 39 4",73,75,69,33,0.592,0.6944444444444444,0.5208333333333334,0.5952380952380953,0.6261585326333527
23,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 48 3, 32 2, 20 4",81,70,85,14,0.604,0.8333333333333334,0.45161290322580644,0.5857740585774058,0.6151870389884089
4,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 153 2, 99 4",75,82,25,68,0.628,0.5466666666666666,0.7663551401869159,0.6381322957198443,0.6501282051282051
4,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 123 2, 82 4",81,75,59,35,0.624,0.6818181818181818,0.5597014925373134,0.6147540983606556,0.6677684879123728
4,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 145 3, 93 2, 62 4",56,90,30,74,0.584,0.5487804878048781,0.75,0.6338028169014085,0.6296082949308756
4,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 104 3, 59 2, 37 4",57,91,27,75,0.592,0.5481927710843374,0.7711864406779662,0.6408450704225352,0.6554089026915113
4,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 50 3, 32 2, 18 4",71,82,49,48,0.612,0.6307692307692307,0.6259541984732825,0.628352490421456,0.6199243056001026
