Pipeline Number,global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 77 3, 46 2, 27 4",71,85,53,41,0.6746031746031746,0.624,0.6159420289855072,0.6439393939393939
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 50 3, 32 2, 18 4",71,82,49,48,0.6307692307692307,0.612,0.6259541984732825,0.628352490421456
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 16 2, 9 4",59,82,49,60,0.5774647887323944,0.564,0.6259541984732825,0.6007326007326008
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,67,86,50,47,0.6466165413533834,0.612,0.6323529411764706,0.6394052044609666
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 239 3, 162 2, 99 4",85,82,47,36,0.6949152542372882,0.668,0.6356589147286822,0.6639676113360323
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 146 2, 88 4",73,75,47,55,0.5769230769230769,0.592,0.6147540983606558,0.5952380952380951
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 190 3, 137 2, 73 4",66,73,45,66,0.5251798561151079,0.556,0.6186440677966102,0.5680933852140078
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 116 2, 65 4",75,75,61,39,0.6578947368421053,0.6,0.5514705882352942,0.6
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 147 3, 97 2, 56 4",72,78,57,43,0.6446280991735537,0.6,0.5777777777777777,0.609375
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 125 3, 79 2, 46 4",66,74,56,54,0.578125,0.56,0.5692307692307692,0.5736434108527132
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 101 3, 68 2, 31 4",67,78,60,45,0.6341463414634146,0.58,0.5652173913043478,0.5977011494252873
2,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 78 3, 49 2, 23 4",71,87,51,41,0.6796875,0.632,0.6304347826086957,0.6541353383458646
