global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 252 3, 150 2, 98 4",27,133,55,35,0.7916666666666666,0.64,0.7074468085106383,0.7471910112359551
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 224 3, 137 2, 89 4",26,110,86,28,0.7971014492753623,0.544,0.5612244897959183,0.658682634730539
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 196 3, 124 2, 80 4",30,112,83,25,0.8175182481751825,0.568,0.5743589743589743,0.6746987951807228
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 170 3, 108 2, 72 4",36,93,99,22,0.808695652173913,0.516,0.484375,0.6058631921824105
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 99 2, 59 4",30,133,46,41,0.764367816091954,0.652,0.7430167597765364,0.7535410764872521
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 114 3, 84 2, 52 4",38,107,78,27,0.7985074626865671,0.58,0.5783783783783784,0.670846394984326
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 98 3, 63 2, 39 4",39,132,45,34,0.7951807228915663,0.684,0.7457627118644068,0.7696793002915453
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 70 3, 50 2, 30 4",44,123,57,26,0.825503355704698,0.668,0.6833333333333333,0.7477203647416414
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 45 3, 34 2, 21 4",43,130,55,22,0.8552631578947368,0.692,0.7027027027027027,0.771513353115727
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 20 2, 5 4",36,114,75,25,0.8201438848920863,0.6,0.6031746031746031,0.6951219512195123
1722636378,Binary,ctn0094_relapse_event,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,37,135,51,27,0.8333333333333334,0.688,0.7258064516129032,0.7758620689655172
